wingcrd,wt
57,18.5
56,18.5
54,18.5
55,18.5
59,18.5
54,18.5
57,18.5
55.5,18.5
55,18.5
53.5,18.5
61,18.6
59,18.6
58,18.6
57,18.6
56,18.6
56,18.6
58.5,18.6
58,18.6
58,18.6
56,18.6
54,18.6
55,18.6
55,18.6
56,18.6
58,18.7
56.5,18.7
55,18.7
55,18.7
55,18.7
58.5,18.7
58,18.7
58,18.7
59,18.7
56.5,18.7
58,18.7
60,18.7
56,18.7
58,18.7
54,18.7
54.5,18.7
55.5,18.7
58,18.8
58,18.8
59,18.8
60,18.8
56,18.8
59,18.8
60,18.8
58.5,18.8
58,18.8
59,18.8
56,18.8
54.5,18.8
58,18.8
56.5,18.8
59,18.8
58,18.8
55,18.8
56,18.8
54,18.8
56,18.8
56,18.8
57,18.8
53,18.8
53.5,18.8
54,18.8
54,18.8
56,18.9
55,18.9
57,18.9
56,19
59.5,19
59,19
59,19
56,19
58,19
58.5,19
60,19
56,19
57,19
58.5,19
58.5,19
58,19
57.5,19
58,19
57,19
56,19
55,19
55,19
59.5,19
55.5,19
58.5,19
60,19
54,19
55,19
56,19
57,19
56,19
53,19
54,19
57,19
57,19.1
54,19.1
57,19.1
58,19.1
57,19.1
57,19.1
57,19.1
56,19.1
58,19.1
58.5,19.1
58,19.1
54,19.1
55,19.1
54.5,19.1
55,19.1
55,19.2
60,19.2
58.5,19.2
58,19.2
59,19.2
55,19.2
56.5,19.2
57,19.2
59,19.2
56,19.2
60,19.2
56,19.2
59,19.2
56,19.2
58,19.2
60,19.2
58,19.2
58,19.2
57,19.2
57,19.2
58,19.2
57,19.2
57,19.2
59,19.2
57,19.2
57,19.2
56.5,19.2
57,19.2
55,19.2
54.5,19.2
56,19.2
56,19.2
56,19.2
56,19.2
55,19.2
52,19.2
56.5,19.2
55.5,19.2
57,19.2
55,19.2
54.5,19.2
54.5,19.2
56,19.3
58,19.3
56,19.3
59,19.3
60,19.3
57,19.3
60,19.3
58,19.3
57.5,19.3
56,19.3
56,19.3
57,19.3
55,19.3
56,19.3
57.5,19.3
56,19.4
58,19.4
53,19.4
59,19.4
56,19.4
59,19.4
56,19.4
56,19.4
59,19.4
59.5,19.4
58,19.4
58.5,19.4
59,19.4
57,19.4
57,19.4
58,19.4
57,19.4
57,19.4
55,19.4
57,19.4
55.5,19.4
55,19.4
57,19.5
58,19.5
57,19.5
59,19.5
59,19.5
57,19.5
57.5,19.5
57.5,19.5
57,19.5
56.5,19.5
58,19.5
57.5,19.5
57,19.5
68,19.5
57,19.5
59,19.5
60,19.5
59,19.5
57.5,19.5
56,19.5
57,19.5
56,19.5
57,19.5
58.5,19.5
58,19.5
56.5,19.5
57,19.5
57.5,19.5
60,19.5
57,19.5
58,19.5
57,19.5
56.5,19.5
59,19.5
61,19.5
58,19.5
57,19.5
56,19.5
54.5,19.5
56,19.5
56,19.5
55,19.5
55,19.5
57,19.5
59,19.6
58,19.6
59,19.6
57,19.6
58,19.6
57.5,19.6
56.5,19.6
58,19.6
57,19.6
59,19.6
59,19.6
59,19.6
56.5,19.6
57.5,19.6
57,19.6
59.5,19.6
60,19.6
58,19.6
58,19.6
58,19.6
57,19.6
55,19.6
55.5,19.6
59,19.7
60,19.7
56,19.7
59,19.7
57.5,19.7
56,19.7
58,19.7
58,19.7
58,19.7
57.5,19.7
56,19.7
58.5,19.7
57.5,19.7
60,19.7
57.5,19.7
59,19.7
58.5,19.7
55.5,19.7
56.5,19.7
60,19.7
59,19.7
57,19.7
57,19.7
55,19.7
54.5,19.7
59,19.7
58,19.8
54,19.8
59,19.8
59.5,19.8
59,19.8
59,19.8
59,19.8
59,19.8
58,19.8
60,19.8
58,19.8
58,19.8
58,19.8
59,19.8
61,19.8
58,19.8
61,19.8
57,19.8
58,19.8
58,19.8
55,19.8
56,19.8
57,19.8
57,19.8
55.5,19.8
58.5,19.8
57,19.8
58,19.8
56,19.8
60,19.9
59,19.9
59.5,19.9
59,19.9
59,19.9
59,19.9
58.5,19.9
57.5,19.9
59,19.9
58.5,19.9
57,19.9
59,19.9
58.5,19.9
59,19.9
58.5,19.9
57.5,19.9
60,19.9
58,19.9
58,19.9
59,19.9
59,19.9
56,19.9
56,19.9
55,20
59,20
57,20
58,20
59.5,20
59.5,20
57.5,20
57,20
58.5,20
56.5,20
56,20
59,20
58,20
60,20
60,20
59.5,20
59,20
58,20
57.5,20
59,20
59.5,20
57.5,20
55.5,20
57,20
58,20
60,20
60,20
59,20
58,20
57,20
60,20
58,20
58.5,20
58,20
59.5,20
59,20
57,20
58.5,20
59,20
60,20
59.5,20
60,20
54,20
56,20
55.5,20
58,20.1
60,20.1
58,20.1
59,20.1
58,20.1
57,20.1
60.5,20.1
58,20.1
60,20.1
59,20.1
59,20.1
61,20.1
57,20.1
59.5,20.1
59.5,20.1
57,20.1
57.5,20.1
59,20.1
59,20.1
58,20.1
57,20.1
57.5,20.1
55,20.1
57,20.1
57,20.2
59,20.2
58,20.2
61,20.2
60,20.2
59,20.2
57,20.2
58,20.2
57,20.2
60,20.2
60,20.2
60,20.2
59,20.2
57,20.2
57,20.2
60,20.2
60,20.2
59,20.2
57,20.2
58,20.2
59,20.2
57,20.2
55,20.2
58.5,20.2
58,20.2
58,20.2
58,20.2
60,20.2
59.5,20.2
58,20.2
58,20.2
60,20.2
59.5,20.2
57,20.2
59,20.2
60,20.2
58,20.2
58.5,20.2
59,20.2
54,20.2
54,20.2
57,20.2
55.5,20.2
55,20.2
57,20.2
56.5,20.2
59,20.2
58,20.2
60,20.3
59,20.3
59,20.3
59.5,20.3
60,20.3
59.5,20.3
61,20.3
58,20.3
58,20.3
58,20.3
59,20.3
58.5,20.3
58,20.3
58,20.3
59,20.3
59.5,20.3
59.5,20.3
58,20.3
55,20.3
60.5,20.4
59.5,20.4
58,20.4
58,20.4
59,20.4
59.5,20.4
58,20.4
58,20.4
59,20.4
60.5,20.4
60.5,20.4
58.5,20.4
59,20.4
60,20.4
57,20.4
58,20.4
59,20.4
59,20.4
59,20.4
56.5,20.4
59,20.4
56,20.4
56,20.4
58,20.4
57,20.5
58,20.5
57.5,20.5
55.5,20.5
57,20.5
58,20.5
57,20.5
60,20.5
59,20.5
58,20.5
57,20.5
58,20.5
58.5,20.5
59,20.5
58,20.5
58,20.5
58,20.5
56.5,20.5
60,20.5
58,20.5
59,20.5
59,20.5
59,20.5
59,20.5
57,20.5
60,20.5
60.5,20.5
57,20.5
58,20.5
57,20.5
58,20.5
59.5,20.5
57,20.5
59,20.5
57,20.5
59,20.5
58,20.5
56.5,20.5
57,20.5
59,20.5
58.5,20.5
59,20.5
58,20.5
56,20.5
59,20.5
58.5,20.5
57,20.5
58,20.5
58,20.5
59,20.5
59,20.5
59.5,20.5
54.5,20.5
54,20.5
53,20.5
56,20.5
59,20.5
57,20.5
61,20.5
59,20.6
61,20.6
59.5,20.6
60,20.6
59,20.6
59,20.6
60,20.6
61,20.6
59,20.6
59,20.6
60.5,20.6
58.5,20.6
56,20.6
59,20.6
59,20.6
59.5,20.6
57.5,20.6
56,20.6
55,20.6
59,20.6
56.5,20.6
59,20.6
58,20.6
61.5,20.6
58,20.6
61,20.6
60,20.6
58,20.6
58,20.6
55.5,20.6
60,20.7
61,20.7
57,20.7
59,20.7
58,20.7
59.5,20.7
60,20.7
59,20.7
59,20.7
60,20.7
58,20.7
57,20.7
59,20.7
59,20.7
56.5,20.7
60.5,20.7
57,20.7
57,20.7
60,20.7
61,20.7
57.5,20.7
60,20.7
54,20.7
55,20.7
56,20.7
60.5,20.8
60,20.8
59,20.8
60,20.8
58.5,20.8
57,20.8
58,20.8
59,20.8
58,20.8
61.5,20.8
59,20.8
59,20.8
58.5,20.8
60.5,20.8
58.5,20.8
60,20.8
59,20.8
59,20.8
59,20.8
58,20.8
58.5,20.8
57.5,20.8
58,20.8
56,20.8
58,20.8
58,20.8
58.5,20.8
55,20.8
55,20.8
55,20.8
59.5,20.9
59.5,20.9
59,20.9
59.5,20.9
60.5,20.9
57.5,20.9
59.5,20.9
59.5,20.9
59.5,20.9
60.5,20.9
59,20.9
54,20.9
59,20.9
56.5,21
58,21
59,21
57.5,21
59,21
60.5,21
58.5,21
59,21
58,21
59.5,21
57,21
58.5,21
57,21
61.5,21
61,21
58.5,21
57.5,21
61.5,21
59,21
59.5,21
57.5,21
61,21
59,21
60,21
59,21
58,21
59,21
57,21
59.5,21
59,21
57,21
55.5,21
55,21
58.5,21
58.5,21
58,21
57,21.1
59,21.1
59,21.1
61,21.1
59,21.1
59.5,21.1
61,21.1
61,21.1
57,21.1
62,21.2
55.5,21.2
64,21.2
59,21.2
60,21.2
60.5,21.2
59.5,21.2
59,21.2
58.5,21.2
57,21.2
56,21.2
60,21.2
59,21.2
59,21.2
60,21.2
59,21.2
59,21.2
57,21.2
59,21.2
59,21.2
60,21.2
60,21.2
61,21.2
60,21.2
59.5,21.2
58.5,21.2
59,21.2
60,21.2
58.5,21.2
56,21.2
57,21.2
56.5,21.2
55,21.2
59.5,21.3
59.5,21.3
58.5,21.3
58.5,21.3
58,21.3
61,21.3
59,21.3
58,21.3
59,21.3
61,21.3
60,21.3
60,21.3
59.5,21.3
61,21.3
56,21.3
55.5,21.3
58,21.3
59,21.4
60,21.4
59.5,21.4
61,21.4
59,21.4
59,21.4
58,21.4
59,21.4
60,21.4
60.5,21.4
60,21.4
55,21.5
55.5,21.5
60.5,21.5
60,21.5
56.5,21.5
60.5,21.5
59.5,21.5
59.5,21.5
57,21.5
57.5,21.5
59.5,21.5
58.5,21.5
57.5,21.5
61,21.5
59,21.5
59.5,21.5
61,21.5
57.5,21.5
59.5,21.5
57.5,21.5
57,21.5
58,21.5
58,21.5
61,21.5
62,21.5
55.5,21.5
56.5,21.5
55,21.5
55,21.5
56,21.5
58,21.5
57,21.5
59.5,21.5
56.5,21.5
61,21.5
55.5,21.6
60.5,21.6
59.5,21.6
58,21.6
60,21.6
58,21.6
54.5,21.6
56,21.6
62,21.7
60,21.7
59,21.7
57,21.7
61,21.7
59.5,21.7
57,21.7
59,21.7
61,21.7
58,21.7
56.5,21.7
58.5,21.7
61,21.8
57,21.8
58,21.8
55,21.8
59,21.8
59.5,21.8
58.5,21.8
54.5,21.8
59.5,21.8
60,21.9
59,21.9
58,21.9
59,21.9
59.5,21.9
63,21.9
56,21.9
62,22
59.5,22
59,22
59,22
59,22
60,22
60,22
59,22
60,22
60,22
61.5,22
59,22
55.5,22
54,22
53.5,22
57,22
57.5,22
64,22.1
59.5,22.1
58,22.1
58.5,22.1
58.5,22.1
61,22.1
59,22.2
60,22.2
58,22.2
62,22.2
58,22.2
60,22.2
60,22.2
61,22.2
66,22.3
59,22.3
57,22.3
59.5,22.4
56,22.4
61,22.4
58,22.4
60,22.5
60,22.5
58,22.5
64,22.5
62,22.5
63.5,22.5
63.5,22.5
61.5,22.5
58.8,22.5
60,22.5
58,22.6
63,22.6
62,22.6
61.5,22.6
62.5,22.6
57,22.6
61,22.7
59.5,22.8
60,22.8
59.5,22.8
57,22.9
57,23
62,23
61.5,23
60.5,23
61,23.1
63,23.1
61,23.2
62,23.2
60,23.2
62.5,23.2
62,23.2
61,23.2
55.5,23.2
57,23.2
61,23.2
62,23.3
59,23.4
64,23.5
62,23.5
63,23.5
62.5,23.5
61.5,23.5
56.5,23.5
60,23.6
60,23.6
58,23.6
64.5,23.7
63,23.7
62,23.7
57,23.7
61,23.8
65,23.8
66,23.8
63,24
61,24
60.5,24
58.5,24
63,24.1
64,24.1
60,24.1
62,24.2
63.5,24.2
61,24.3
60,24.3
65,24.4
59,24.5
59.5,24.5
62,24.5
62.5,24.5
65,24.6
59,24.6
61,24.8
59.5,24.8
63.5,24.9
60,24.9
62,25
63,25
60,25
60,25
67,25
57.5,25
63,25.2
63,25.2
64,25.2
54.5,25.4
60,25.4
58,25.5
63.5,25.5
62,25.5
63,25.5
61,25.5
64.5,25.8
63,26.1
63,26.5
57,27.5
